uid,Type,Producers,Studios,Source,Themes,Demographic,Duration,Favorites,Streaming Platforms
1505,Movie,['add some'],['TMS Entertainment'],Manga,['Detective'],Shounen,1 hr. 50 min.,21,['Crunchyroll']
1472,TV,['add some'],['Sunrise'],Manga,[],Shounen,24 min. per ep.,50,['Crunchyroll']
9465,Movie,['KlockWorx'],"['Production I.G', 'Xebec']",Manga,"['Adult Cast', 'Mecha', 'Military']",Shounen,49 min.,29,[]
35507,TV,"['Studio Hibari', 'Lantis', 'AT-X', 'Sony Music Communications', 'Toranoana', 'Crunchyroll', 'Kadokawa Media House', 'Kadokawa', 'AKABEiSOFT2']",['Lerche'],Light novel,"['Psychological', 'School']",,24 min. per ep.,"18,972","['Crunchyroll', 'Netflix']"
38349,OVA,"['Aniplex', 'Half H.P Studio', 'Fujipacific Music']","['A-1 Pictures', 'Lapin Track']",Web manga,"['Adult Cast', 'Otaku Culture', 'Workplace']",,23 min. per ep.,486,[]
17949,Music,"['Sony Music Entertainment', 'Carp Studio']",['add some'],Original,['Music'],,1 min.,87,[]
12445,TV,"['Square Enix', 'Media Factory']",['SILVER LINK.'],Manga,['School'],Shounen,23 min. per ep.,"4,622","['Crunchyroll', 'HIDIVE']"
1254,TV,['add some'],['Toei Animation'],Manga,['Mythology'],Shounen,24 min. per ep.,"4,084",['Crunchyroll']
35073,TV,"['AT-X', 'Enterbrain', 'Grooove', 'Hakuhodo DY Music & Pictures', 'NTT Plala', 'Kadokawa']",['Madhouse'],Light novel,['Isekai'],,23 min. per ep.,"4,534","['Crunchyroll', 'Animax Mongolia']"
597,Movie,['add some'],['Studio Ghibli'],Other,['Anthropomorphic'],,1 hr. 15 min.,"1,565",['Netflix']
569,TV,"['VAP', 'Big West', 'King Records', 'Media Rings', 'TV Setouchi']",['Tatsunoko Production'],Light novel,"['Adult Cast', 'Military', 'Parody', 'Space']",,23 min. per ep.,571,['Crunchyroll']
19111,TV,"['Bandai Visual', 'Lantis', 'Bushiroad']",['Sunrise'],Other,"['Idols (Female)', 'Music', 'School']",,23 min. per ep.,"2,730",['Crunchyroll']
14349,Movie,"['Half H.P Studio', 'Ultra Super Pictures']",['Trigger'],Original,['School'],,26 min.,"1,353",['Netflix']
4898,TV,"['Aniplex', 'Square Enix', 'Yomiko Advertising', 'Mainichi Broadcasting System', 'Movic', 'Trinity Sound', 'Hakuhodo DY Media Partners']",['A-1 Pictures'],Manga,"['Historical', 'Mythology']",Shounen,24 min. per ep.,"22,820","['Crunchyroll', 'Netflix']"
249,TV,"['Shogakukan-Shueisha Productions', 'Yomiuri Telecasting']",['Sunrise'],Manga,"['Historical', 'Love Polygon', 'Mythology', 'Time Travel']",Shounen,24 min. per ep.,"18,854","['Crunchyroll', 'Netflix']"
12893,Special,['add some'],['Sunrise'],Web manga,"['Gag Humor', 'School']",,3 min. per ep.,191,[]
8142,Movie,"['Aniplex', 'Sony Music Entertainment', 'Imagine']","['Sunrise', 'Ascension']",Novel,[],,2 hr. 7 min.,"1,252",[]
532,TV,"['TV Asahi', 'Toei Advertising']",['Toei Animation'],Manga,['Mahou Shoujo'],Shoujo,24 min. per ep.,"1,453",[]
21185,TV,['NHK'],['Pierrot'],Manga,['School'],Shounen,24 min. per ep.,846,['Crunchyroll']
890,TV,"['Victor Entertainment', 'Nagoya Broadcasting Network', 'Tokyu Agency']",['Sunrise'],Original,"['Mecha', 'Super Power']",,25 min. per ep.,355,['Crunchyroll']
543,Movie,"['Movic', 'Filmlink International', 'animate']",['Madhouse'],Light novel,['Vampire'],,1 hr. 42 min.,"2,597",['HIDIVE']
949,OVA,"['Studio Fantasia', 'Tohokushinsha Film Corporation']",['Gainax'],Original,"['Mecha', 'Military', 'Space']",,30 min. per ep.,"2,792",[]
34504,Movie,"['KlockWorx', 'Glovision', 'King Records']",['GoHands'],4-koma manga,"['Gag Humor', 'School']",Shounen,1 hr.,77,[]
1729,OVA,['add some'],['Studio Deen'],Light novel,['School'],Shoujo,51 min. per ep.,101,['HIDIVE']
8310,TV Special,['add some'],['TMS Entertainment'],Manga,[],Shounen,24 min. per ep.,354,['Crunchyroll']
35075,TV,"['Kodansha', 'King Records']",['Studio Deen'],Manga,['Mythology'],Seinen,23 min. per ep.,113,['HIDIVE']
35678,Movie,"['Lantis', 'Shochiku', 'Heart Company']",['Kyoto Animation'],Novel,"['Music', 'Performing Arts', 'School']",,1 hr. 41 min.,180,[]
15809,TV,"['Sotsu', 'Lantis', 'Pony Canyon', 'Magic Capsule', 'KlockWorx', 'ASCII Media Works', 'Showgate', 'Infinite']",['White Fox'],Light novel,"['Mythology', 'Workplace']",,24 min. per ep.,"10,725","['Crunchyroll', 'Netflix']"
35111,Movie,['add some'],['Production I.G'],Manga,"['School', 'Team Sports']",Shounen,1 hr. 28 min.,82,['Netflix']
7304,TV Special,['add some'],['TMS Entertainment'],Manga,[],,25 min.,8,[]
1366,Movie,['add some'],['TMS Entertainment'],Manga,['Detective'],Shounen,1 hr. 48 min.,36,['Crunchyroll']
23225,OVA,"['Sotsu', 'Pony Canyon']",['TYO Animations'],Manga,"['CGDCT', 'Gag Humor']",,1 hr. 3 min.,149,[]
17909,TV,"['Bandai Visual', 'Yomiuri Telecasting', 'Lantis', 'Kids Station', 'Magic Capsule', 'Good Smile Company']",['P.A. Works'],Novel,"['Anthropomorphic', 'Mythology']",,24 min. per ep.,"1,505",['Crunchyroll']
10521,TV,"['Aniplex', 'Yomiuri Telecasting', 'Rakuonsha']",['A-1 Pictures'],4-koma manga,"['Romantic Subtext', 'Workplace']",Seinen,24 min. per ep.,463,['Crunchyroll']
22319,TV,"['Marvelous AQL', 'TC Entertainment', 'Shueisha']",['Pierrot'],Manga,"['Gore', 'Psychological']",Seinen,24 min. per ep.,"50,680","['Crunchyroll', 'Netflix', 'Shahid']"
400,TV,"['Sotsu', 'Victor Entertainment']",['Sunrise'],Manga,['Space'],Seinen,25 min. per ep.,"2,182",['Crunchyroll']
9088,OVA,"['TV Tokyo', 'Dentsu', 'Frontier Works', 'Hakuhodo DY Media Partners']",['Anpro'],Manga,['Mythology'],Shounen,29 min. per ep.,74,['Animekey']
33190,Movie,['Visual Arts'],['David Production'],Visual novel,[],,1 hr. 56 min.,217,['Crunchyroll']
