uid,Type,Producers,Studios,Source,Themes,Demographic,Duration,Favorites,Streaming Platforms
19971,TV Special,['add some'],['Topcraft'],Novel,"['Historical', 'Music']",,49 min.,0,[]
5889,Movie,['add some'],['add some'],Original,[],,1 hr. 24 min.,1,[]
668,TV,['Trinet Entertainment'],['Studio Flag'],Manga,"['Harem', 'School']",Shounen,25 min. per ep.,15,['Crunchyroll']
9978,TV,['Tsuburaya Productions'],['Sunrise'],Original,[],,24 min. per ep.,1,[]
5876,OVA,['Gakken Eigakyoku'],"['Studio Hibari', 'Grouper Productions']",Manga,[],,51 min. per ep.,1,[]
2600,OVA,['Starchild Records'],['Sunrise'],Unknown,"['Mecha', 'Space']",,56 min.,1,[]
34622,Special,['add some'],['OLM'],Manga,[],,4 min.,3,[]
18389,ONA,['add some'],['add some'],Manga,[],,5 min. per ep.,1,[]
3669,Movie,['Shogakukan-Shueisha Productions'],['Studio Hibari'],Original,[],Kids,45 min.,1,[]
4158,Music,['add some'],['Studio Ghibli'],Original,[],,3 min.,0,[]
19235,Music,['add some'],['add some'],Original,[],,4 min.,1,[]
29135,Movie,['add some'],['add some'],Unknown,[],,12 min.,0,[]
18419,Special,['add some'],['Charaction'],Original,[],,4 min.,1,[]
8939,Music,['Think Corporation'],['add some'],Manga,"['Music', 'Space']",,6 min.,2,[]
5478,TV,['Studio Comet'],['add some'],Unknown,[],Kids,24 min. per ep.,1,[]
3675,TV Special,['add some'],['Toei Animation'],Manga,[],,1 hr. 24 min.,3,[]
33903,CM,['add some'],['add some'],Original,[],,42 sec. per ep.,3,[]
9433,TV,['add some'],['add some'],Unknown,[],,25 min. per ep.,3,[]
9608,OVA,['add some'],['ufotable'],Manga,[],,6 min.,8,[]
23825,Special,['add some'],['add some'],Game,[],,3 min.,2,[]
35115,Special,['add some'],['Shin-Ei Animation'],Manga,"['Adult Cast', 'Psychological']",Seinen,4 min.,1,[]
12135,OVA,['add some'],['add some'],Original,[],,2 min.,1,[]
35684,PV,['Square Enix'],"['Wit Studio', 'Square Enix Visual Works']",Game,[],,1 min. per ep.,1,[]
14947,Movie,"['TV Osaka', 'Sanrio', 'FuRyu']",['Studio Comet'],Original,[],,12 min.,0,[]
29795,Movie,['add some'],['add some'],Original,"['Historical', 'Mythology']",Kids,23 min.,0,[]
1620,OVA,"['KSS', 'Tokyo Movie Shinsha']",['TMS Entertainment'],Manga,[],Shounen,28 min. per ep.,4,[]
33529,PV,['TMS Entertainment'],['Echoes'],Picture book,[],,3 min.,0,[]
36440,ONA,['Tencent Penguin Pictures'],['B.CMAY PICTURES'],Game,[],,13 min. per ep.,6,[]
17485,OVA,"['Sanrio', 'Grouper Productions']",['add some'],Unknown,[],Kids,30 min.,3,[]
30289,Special,['add some'],['TMS Entertainment'],Original,[],,1 min. per ep.,1,[]
16169,TV,"['AT-X', 'Takeshobo', 'Dream Creation', 'SPO Entertainment']",['Seven'],4-koma manga,[],,3 min. per ep.,48,['Crunchyroll']
36888,Special,['add some'],['Gyorai Eizo Inc.'],Novel,[],,12 min.,0,[]
35553,Music,['Avex Entertainment'],['add some'],Original,[],,3 min.,0,[]
15423,Music,"[""Toy's Factory""]",['add some'],Original,[],,3 min.,0,[]
39890,Music,['Sony Music Entertainment'],['add some'],Original,[],,6 min.,0,[]
29837,Special,['Starchild Records'],['Doga Kobo'],Light novel,[],,16 min.,0,[]
33026,TV,"['Yomiuri Telecasting', 'Level-5']",['Tatsunoko Production'],Original,[],,23 min. per ep.,4,[]
8963,Special,['add some'],['Madhouse'],Other,[],Kids,25 min.,0,[]
10525,TV,['G&G Entertainment'],['SynergySP'],Original,[],Kids,21 min. per ep.,0,[]
10077,OVA,['Shinano Kikaku'],['Toei Animation'],Original,[],,31 min.,0,[]
39780,Special,['add some'],['Zuiyo'],Original,"['Mythology', 'School']",,5 min.,2,[]
3095,OVA,['AC Create'],['J.C.Staff'],Unknown,[],,39 min. per ep.,4,[]
33447,TV,"['Pony Canyon', 'Studio NOIX', 'comico']",['Zero-G'],Web manga,[],,4 min. per ep.,10,['Crunchyroll']
37881,ONA,['add some'],['add some'],Original,[],,12 min.,0,[]
12359,TV,"['Yomiko Advertising', 'Nelvana']",['Milky Cartoon'],Picture book,[],Kids,25 min. per ep.,5,[]
2527,OVA,['Daiei'],['Project Team Sarah'],Manga,[],,26 min. per ep.,3,[]
32448,TV,['add some'],['add some'],Unknown,[],Kids,5 min. per ep.,0,[]
8316,Special,['add some'],['AIC ASTA'],Manga,"['Parody', 'Super Power']",Seinen,2 min. per ep.,0,[]
38777,PV,['add some'],['Yokohama Animation Laboratory'],Manga,[],Shounen,1 min. per ep.,"1,977",['Netflix']
11767,OVA,['G-mode'],['AIC'],Original,[],,24 min.,0,[]
39584,Movie,['Slow Curve'],['Polygon Pictures'],Novel,[],,1 hr. 49 min.,39,[]
18823,OVA,['Sanrio'],['add some'],Other,[],Kids,9 min.,0,[]
38389,CM,['add some'],['White Fox'],Light novel,[],,2 min. per ep.,40,[]
33905,CM,['add some'],['Composition Inc.'],Original,[],,29 sec.,5,[]
36577,PV,['Kadokawa'],"['Trigger', 'dwarf']",Manga,[],,58 sec. per ep.,3,[]
37600,Movie,['add some'],"['Zexcs', 'Studio A-CAT']",Other,[],,1 hr. 22 min.,11,[]
32139,Music,['add some'],['add some'],Original,"['Music', 'Psychological']",,3 min.,3,[]
29943,Movie,['add some'],['add some'],Original,[],,3 min.,10,[]
7621,Movie,['Gakken'],['add some'],Book,[],,18 min.,0,[]
3763,Movie,['TOHO'],['Ashi Productions'],Other,[],,33 min.,2,[]
33184,TV,"['flying DOG', 'Hakuhodo DY Music & Pictures', 'COLOPL']",['SILVER LINK.'],Game,[],,23 min. per ep.,43,"['Crunchyroll', 'HIDIVE']"
13947,TV Special,['add some'],['Toei Animation'],Unknown,[],,1 hr. 10 min.,0,[]
30617,Movie,['add some'],"['Studio Moriken', 'W-Toon Studio']",Original,[],,1 min. per ep.,1,[]
22575,OVA,['Sanrio'],['add some'],Unknown,[],Kids,10 min.,2,[]
39208,Special,['add some'],['add some'],Original,[],,2 min.,0,[]
37082,Special,['add some'],['add some'],Original,"['Adult Cast', 'Military', 'Space']",,9 min.,0,[]
37318,PV,['Square Enix'],['add some'],Game,[],,45 sec. per ep.,2,[]
35418,Special,['add some'],"['Artland', 'TNK']",Other,[],,1 min. per ep.,6,[]
37423,ONA,['add some'],['add some'],Novel,[],,5 min. per ep.,0,[]
33803,TV,['King Records'],['ILCA'],Original,"['Historical', 'Mythology', 'Samurai']",,3 min. per ep.,6,['Crunchyroll']
11763,TV,"['Movic', 'Earth Star Entertainment']",['Arms'],Manga,[],,23 min. per ep.,110,['Crunchyroll']
33889,TV,"['TBS', 'NBCUniversal Entertainment Japan']",['Seven Arcs Pictures'],Light novel,[],,23 min. per ep.,50,['Crunchyroll']
31846,CM,['add some'],['Studio Colorido'],Other,"['School', 'Strategy Game']",,37 sec. per ep.,2,[]
36298,Special,['add some'],['Directions'],Original,"['Anthropomorphic', 'Parody']",,11 min.,0,[]
1644,OVA,"['AC Create', 'Cosmic Ray', 'BEAM Entertainment', 'NichiNare']","['J.C.Staff', 'Front Line']",Original,[],,28 min. per ep.,4,[]
27459,TV,['add some'],['add some'],Unknown,[],Kids,11 min. per ep.,0,[]
20463,Special,['Tokyo Movie Shinsha'],['TMS Entertainment'],Picture book,[],,10 min.,2,[]
9691,OVA,"['J.C.Staff', 'animate Film']",['add some'],Manga,"['Historical', 'Mythology', 'Samurai']",,25 min. per ep.,3,[]
9205,ONA,['Soft Garage'],['add some'],Manga,[],Seinen,4 min. per ep.,11,[]
23349,TV,['Mainichi Broadcasting System'],['add some'],Unknown,[],Kids,5 min. per ep.,1,[]
2833,Movie,['add some'],['Toei Animation'],Unknown,[],,1 hr. 20 min.,2,[]
37663,Special,"['Bandai Namco Entertainment', 'DMM.futureworks', 'Aoni Production']","['Passione', 'Creators in Pack']",Game,"['Military', 'Parody']",,7 min.,2,[]
4917,TV Special,['Nippon Television Network'],['Tezuka Productions'],Original,[],,1 hr. 12 min.,2,[]
